movie_name,month,year,ratings,user_vote,genres,country
Buffalo Soldiers,7.0,2003.0,6.7,26000,,United Kingdom Germany
Bug,5.0,2007.0,6.1,38000,,
Bullet to the Head,2.0,2013.0,5.7,52000,,
Bulletproof Monk,4.0,2003.0,5.5,52000,,
Bumblebee,12.0,2018.0,6.7,189000,,
Buried,9.0,2010.0,7.0,169000,,
Burlesque,11.0,2010.0,6.4,93000,,
Burn After Reading,9.0,2008.0,7.0,354000,,
Burnt,10.0,2015.0,6.6,133000,,
CHIPS,3.0,2017.0,6.0,51000,,United States
CHiPS,3.0,2017.0,,,,
Ca$h,3.0,2010.0,5.9,10000,,
Cabin Fever,9.0,2003.0,5.6,84000,,
